row,sha256,label,source,split
0,6026ce9637a7437da24710b07eed2d1709ef85a90987d9a2e74b8f490a1d1a54,non_stereotype,goat_offensive,train
1,f634b3978123ea17656b6754b5f1a60d351ae456bd107650244532dc34bec5fe,kitchen,wbms_kitchen,train
2,dc5268f878f6ac6eaf865b7010a3ac3e17c312ea4eb98dae553229b71e01085e,kitchen,wbms_kitchen,train
3,49fc33a0a897be1fa5624d7938001f14b3f83359c03739ba7ecebd01048a914d,kitchen,wbms_kitchen,train
4,582f94d33ca1e88906ef8c6f8ae95afc2e86c9c1bc89a2277d4a198da81e0e87,kitchen,wbms_kitchen,test
5,7e45d04b03880365ce1f50ffaa9ac4cedeadc01ffd77e7e95af67f219247fd75,leadership,wbms_leadership,train
6,32d1186f6996d2c3df600f207fba322b45c3fc18f38ea0d87a617da5f8fb605a,non_stereotype,goat_harmful,val
7,d04ae1aa2592470ac1b62af8d02fb01971528ff4278b35652a0838edb3b87bb7,non_stereotype,goat_offensive,train
8,fde97f6ec5904ddb92f9084dbc45490e0f4e7659ad632e18876a2115c80ccb27,kitchen,wbms_kitchen,train
9,55e1e64b55c24b5ea76930fb6d8b4220cee4985f1f3a0c7fae0a78817a6ae744,kitchen,wbms_kitchen,train
10,7af3145e68f7f7e63e279c69ca6d2f4f1e0e54166403e7dd5cc3cca9c2cab640,working,wbms_working,train
11,0e493b5c34b97a54ad9b67789386e826b362d565d3ef4784c376f1912a05106e,non_stereotype,goat_harmful,train
12,dd1113b7befae7e67ec4c64182ab06e28e9a37688ae55cd6bc0f3b23e897c8d9,kitchen,wbms_kitchen,val
13,a6cb14d8b17c4e60b50d8dfac0a1dd0f970e91bab248acf1435142ed26f41e2b,working,wbms_working,train
14,bca821b5b099e67afa33409ed2e726bd678cba615e22add38f052248d28a1d1c,leadership,wbms_leadership,train
15,4325563a05c7ee059e05508d514c67b8d9d693e5e24e0e0c41dad7c48bf237f2,non_stereotype,goat_offensive,train
16,af1e4af00558246c577948dabb73b472d43939d7a14decb62f6ad7724a729ca5,non_stereotype,goat_offensive,train
17,5c20e5a89d7c4b2ab5856646c6901c2bc8a80aa36105c08c3fb201e0d14d1043,non_stereotype,goat_offensive,train
18,618a90120e552459ddb69bdca7a7e42dcf9141747a25de4b17a92c3230f9fbf6,working,wbms_working,val
19,0f62b2deb16d38a0fe3d7d8c2e6c6838cae93d669a209c3c90a9f000b7795073,kitchen,wbms_kitchen,val
20,4186bdc98141b1c1145cd834a6e842edb57fd21c7758a80305badf227b19779a,leadership,wbms_leadership,val
21,01de227f7cda65a58387bb87a291a941374ab2d6107e4240abb91791a61911f3,kitchen,wbms_kitchen,train
22,2b6f1f2a4e2a4c1367b2047509c4e81b6a680af55c6d47b5319821983652fee6,kitchen,wbms_kitchen,train
23,70d7ea06ec0291712fb441cbf15c82b8342ff893761d728dfbcd861cb5874dd7,kitchen,wbms_kitchen,val
24,ef23d95d72c3da831b15748eda764e1ab4b21042902fc9e325887059a64f395c,kitchen,wbms_kitchen,train
25,e630f278d3a04183316599cd36dd0e7b8025f7f2a0bbdcb64d344353ff15153e,leadership,wbms_leadership,train
26,ffa3ea66b2bd9b3f5d00955b3f5fcc2e72f67dec9a9fbe27e19907d8b8b59c15,non_stereotype,goat_harmful,train
27,0bc5de364136ef43108c54d75b15a9b4ca2f74135b133fbda731cce856ff5f83,kitchen,wbms_kitchen,train
28,5220a19a5f66a3a80a983b244aee661e0a100cae52923e4f534b3ba7bee9db5a,non_stereotype,goat_harmful,val
29,27bfbf1b9553fd32d33a6b7261f9c92ac035ae6468b36b3b826ee2190e276353,kitchen,wbms_kitchen,train
30,1e99702097342ffbecb98dd59e1b0bbde92747cf2441abfbd573cf493d5c78a4,working,wbms_working,test
31,0525d06081cde589c7c5bb7caffc14bdda774b774d2561794951f6b235c1999b,non_stereotype,goat_offensive,train
32,56984b6dc3f5db8e40a3abeec9b59167eba81f888ee5efdd3cccf9c97052df8d,kitchen,wbms_kitchen,train
33,f49759b16556c9239cbdec8653550cad1f455ff2439061980942500af5ac03a2,working,wbms_working,val
34,80fa939306c6aecf7aa9edbceeedec41ac9a7e519b573ad151b097e7ca3b9b21,kitchen,wbms_kitchen,train
35,5c61003489096f6e8fc57be934cbdbb2da8f78a775d36522537453f21cc8b548,working,wbms_working,train
36,f3cb2da510697e478f55ddcb2430d5013d07e65b698d306e601e4ed4f24f08fa,kitchen,wbms_kitchen,val
37,efd10a5969f8442e3416c9962383f8e2dd051cf4690d4de5db1a452e0e068549,non_stereotype,goat_offensive,train
38,7752f1fbf58c78ca50dbc5e9188bdbb19805a1e274d4aeebd9e7b4d68c0ebfb1,kitchen,wbms_kitchen,test
39,c6d18b48ed77921e0c20b9e480411dd1e724f703d7d696007ad613be0a1b78c5,working,wbms_working,train
40,1a2aa4c966ed1a5a8a9e1c8c19e649f9cb5a3e0eee81b1499252c206c81c4d8f,leadership,wbms_leadership,val
41,c07ee46a0df8ec27e9c9629b0f8cfe0085eddb16f03e326218a2269598c8ad9e,working,wbms_working,train
42,e6b0c7c4b6ac37ae02a9fb695e5e6a4732119b330dfb5eec0bb2ae6e084ede14,non_stereotype,goat_harmful,train
43,764a6583a1d73056c27594a014f282fcbae542dcf90de4be7da7f339faec8b74,kitchen,wbms_kitchen,val
44,3ff0bea7971efc6d4c61e8cfb4463ce0b15b2ea821666f9d1137383a4ad24f25,kitchen,wbms_kitchen,train
45,c2a25ba88abcc11086179af8efb0d2c9329deb6d05a5f18c70d2995ccaa61494,kitchen,wbms_kitchen,train
46,5f763c8a61dda678489b3e15a46da6dc122d13314f6e648261e9232c4dbe2fae,non_stereotype,goat_harmful,train
47,6cf5a5d4e3492b063749506aba6c6ac1ab769e9ee2e4d04b7221866c0352a69f,working,wbms_working,train
48,7307a40f46442689af3c822717e67fba0f827b0e983cd48e4e13094ee1dfc6f3,kitchen,wbms_kitchen,train
49,7392afa0f5d32e7adc229744594e23036fa14dd60be6ecf354ab44e668003331,kitchen,wbms_kitchen,train
50,003e29e39b15185b5aa752734bf323ef78edb1bee89a1d44b30c269c8f07b84c,kitchen,wbms_kitchen,train
51,593bec4ba457be026911f8b927cec27b7238720c2de99d5ec7b1097cebdeca37,kitchen,wbms_kitchen,val
52,48ad211ed30aa6f1c9cd0d23931bf78fafe5ae44505c642e084d3c8d4abcedc4,non_stereotype,goat_harmful,val
53,85dd5c9f5e783ddc2c905d0e54ca39e9832bdeadd5bfbb8d07439e1f8df9a4be,shopping,wbms_shopping,val
54,3b9a5ffac6b79b33d6843c7fb94c19ba7ec4cd346bd9c109883201636cf7576c,working,wbms_working,train
55,0561cfc9826a90b81c3a12a43e8fecd3dcb5cd1e9702598153eca1d4b62d0fe8,working,wbms_working,train
56,c118730ca938e56c40cf596840319718778aa67b72d73a7c1f3e5dac9ae73053,non_stereotype,goat_harmful,test
57,940b1092db4cac22e80e3b8ca1950fd0474ab1d117eb399e81462cf0fcff839d,kitchen,wbms_kitchen,train
58,97b73ead18cfad16bbbbe0bb5f7570906e350ea1ab03560eeacd2604cdaec5f1,non_stereotype,goat_offensive,train
59,45f4bccb6099366898fdd7c0d672b337c134054ddb2d6afbc69169342a4995d4,non_stereotype,goat_offensive,train
60,e1ad10b719dce01b326fee370376e1adec80e3955b048b671309ee8222f473a8,shopping,wbms_shopping,train
61,a97b59f406d23ba33af2fc547478441a52e6dbc7045db9660e8d076bbdaa95f2,kitchen,wbms_kitchen,val
62,fc3bb548552b4eb53553e0d40c8a9b8de94ff3116c9f9baa1b575bc6dbd94222,leadership,wbms_leadership,train
63,045b97b1660f4217f03562cff3d25965389a64fcff2e2d53be907af04c4bc3b6,non_stereotype,goat_harmful,train
64,fa3bd58e40b1e5e1c16f0769c8416224c1be806f2e9916611d523bf0dd111cd1,kitchen,wbms_kitchen,train
65,0824448fb72c977438f7c6653807522606d199d85804f239d3f7a77acca23ae2,kitchen,wbms_kitchen,val
66,efa67c7f39a4dd8308ad8314a464d2f4c30e9a0e3fef5d4f73bc3d223eaf3bff,leadership,wbms_leadership,train
67,36cc541cd48b2571109e4059ff00e6b53ed85fbdd8f301b22f0b31a3f7628424,kitchen,wbms_kitchen,train
68,33b152832f55fa3b90602d7bb9e9b9c6b643e359b4a1a11fcb9826dbe5f345ac,non_stereotype,goat_harmful,train
69,639230f0d387b80c23e573bc79fdf007b95b8e3f499296ba5892021facb3b264,kitchen,wbms_kitchen,train
70,1144807d076a0e227687501cc51c56a4bdd995d363885e3b8923ea0a33957af2,non_stereotype,goat_offensive,train
