file_name,split
1.jpg,train
10.jpg,train
1000.jpg,train
10000.jpg,train
10006.jpg,train
10007.jpg,val
10008.jpg,val
10009.jpg,train
1001.jpg,train
10010.jpg,train
10011.jpg,train
10012.jpg,train
10013.jpg,val
10014.jpg,train
10016.jpg,train
10017.jpg,train
10018.jpg,train
1002.jpg,train
10021.jpg,train
10022.jpg,train
10023.jpg,train
10025.jpg,train
10027.jpg,train
10028.jpg,train
10029.jpg,train
1003.jpg,val
10030.jpg,train
10032.jpg,train
10033.jpg,val
10034.jpg,train
10035.jpg,train
10036.jpg,train
10037.jpg,train
10038.jpg,train
10039.jpg,train
10040.jpg,val
10042.jpg,val
10043.jpg,train
10044.jpg,val
10045.jpg,train
10046.jpg,train
10048.jpg,train
10049.jpg,train
1005.jpg,train
10050.jpg,train
10052.jpg,train
10053.jpg,train
10055.jpg,train
10056.jpg,train
10057.jpg,train
10059.jpg,train
1006.jpg,train
10060.jpg,train
10061.jpg,train
10063.jpg,train
10065.jpg,train
10066.jpg,train
10067.jpg,train
10068.jpg,train
10069.jpg,train
10070.jpg,train
10071.jpg,val
10072.jpg,train
10073.jpg,train
10075.jpg,train
10076.jpg,train
10077.jpg,train
10078.jpg,train
10079.jpg,train
10080.jpg,train
10081.jpg,train
10083.jpg,train
10085.jpg,train
10086.jpg,train
10087.jpg,train
10088.jpg,train
10089.jpg,train
10090.jpg,train
10093.jpg,train
10094.jpg,train
10095.jpg,train
10097.jpg,train
10098.jpg,val
10099.jpg,train
101.jpg,train
1010.jpg,train
10100.jpg,train
10101.jpg,train
10102.jpg,train
10104.jpg,train
10105.jpg,train
10106.jpg,train
10107.jpg,train
10108.jpg,train
10109.jpg,train
1011.jpg,train
10111.jpg,train
10112.jpg,train
10113.jpg,train
10114.jpg,train
10115.jpg,train
10116.jpg,train
10117.jpg,train
10118.jpg,train
1012.jpg,train
10120.jpg,train
10121.jpg,train
10122.jpg,train
10123.jpg,train
10126.jpg,train
10127.jpg,train
10128.jpg,train
10129.jpg,train
1013.jpg,train
10131.jpg,train
10132.jpg,train
10133.jpg,train
10134.jpg,val
10135.jpg,train
10136.jpg,train
10137.jpg,train
10138.jpg,train
10139.jpg,train
1014.jpg,train
10140.jpg,train
10141.jpg,train
10142.jpg,train
10143.jpg,train
10144.jpg,train
10145.jpg,train
10146.jpg,train
10148.jpg,train
10149.jpg,val
1015.jpg,train
10150.jpg,train
10151.jpg,train
10152.jpg,train
10153.jpg,val
10154.jpg,val
10155.jpg,train
10157.jpg,train
10158.jpg,train
10159.jpg,train
1016.jpg,train
10160.jpg,train
10161.jpg,train
10162.jpg,train
10164.jpg,train
10165.jpg,train
10166.jpg,train
10167.jpg,train
10168.jpg,train
10169.jpg,train
1017.jpg,train
10170.jpg,train
